u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,speed_kph,travel_time,bridge,width,junction,ref,access
330645156,330634176,0,577291255,True,2,Calle 37 Sur,secondary,30,False,96.971,"LINESTRING (-75.5875208 6.1706279, -75.5881816 6.1710716, -75.5882477 6.171116)",30.0,11.6,,,,,
330646990,327431102,0,174010752,True,,Calle 33B Sur,residential,,False,85.548,"LINESTRING (-75.5861291 6.1728839, -75.5861539 6.1729239, -75.5861842 6.1729586, -75.5862262 6.1729902, -75.5867343 6.1732953, -75.5867635 6.1733128)",35.0,8.8,,,,,
330646990,340690124,0,577281360,True,1,Carrera 43,tertiary,40,False,118.714,"LINESTRING (-75.5861291 6.1728839, -75.5864193 6.1724354, -75.5864914 6.172313, -75.5866946 6.1719765)",40.0,10.7,,,,,
330647482,330642881,0,30028927,False,,Transversal 34B Sur,residential,,True,75.586,"LINESTRING (-75.5848185 6.1712081, -75.5841805 6.1714525)",35.0,7.8,,,,,
330647482,330647483,0,154758756,True,,Diagonal 40,residential,60,False,54.285,"LINESTRING (-75.5848185 6.1712081, -75.5850108 6.1716573)",60.0,3.3,,,,,
330647483,569680248,0,30028650,True,,Transversal 34A Sur,residential,,False,78.006,"LINESTRING (-75.5850108 6.1716573, -75.584354 6.1719137)",35.0,8.0,,,,,
330647483,330647593,0,154758756,True,,Diagonal 40,residential,60,False,42.752,"LINESTRING (-75.5850108 6.1716573, -75.585175 6.1720054)",60.0,2.6,,,,,
330647593,330648673,0,154758766,True,,Diagonal 40,residential,60,False,36.847,"LINESTRING (-75.585175 6.1720054, -75.5853144 6.1723064)",60.0,2.2,,,,,
330648332,330644597,0,30028937,True,2,Carrera 42,tertiary,,False,32.138,"LINESTRING (-75.5855885 6.1724773, -75.5855639 6.1725353, -75.5855538 6.1725896, -75.5855471 6.1726429, -75.5855413 6.1727599)",60.0,1.9,,,,,
330648332,330646990,0,30028971,True,,Calle 33B Sur,residential,,False,75.967,"LINESTRING (-75.5855885 6.1724773, -75.5860559 6.172779, -75.5860882 6.1728112, -75.5861111 6.1728439, -75.5861291 6.1728839)",35.0,7.8,,,,,
330648673,330648332,0,30028971,True,,Calle 33B Sur,residential,,False,35.768,"LINESTRING (-75.5853144 6.1723064, -75.5855439 6.1724496, -75.5855885 6.1724773)",35.0,3.7,,,,,
330648673,569680246,0,154758766,True,,Diagonal 40,residential,60,False,18.954,"LINESTRING (-75.5853144 6.1723064, -75.5853308 6.1723322, -75.5853914 6.1724585)",60.0,1.1,,,,,
330648889,1825621048,0,1181569235,True,,Carrera 45A,residential,,False,50.954,"LINESTRING (-75.5884574 6.1743363, -75.5887083 6.1739519)",35.0,5.2,,,,,
